storename,ccnt,Category,prod,name,unit,OpeningQty,Opening ,PurchasesQty,Purchases,ClosingQty,Closing,UsageQty,Usage
The Grove,BEV,Beer & Ciders,10851,amstel,EACH,4, R44.00 ,0, R-   ,0, R-   ,4, R44.00 
The Grove,BEV,Beer & Ciders,10054,carling black label,EACH,29, R297.25 ,0, R-   ,6, R61.50 ,23, R235.75 
The Grove,BEV,Beer & Ciders,10055,castle,EACH,26, R241.54 ,0, R-   ,14, R130.06 ,12, R111.48 
The Grove,BEV,Beer & Ciders,11558,castle free,EACH,18, R157.14 ,0, R-   ,18, R157.14 ,0, R-   
The Grove,BEV,Beer & Ciders,10853,castle lite,EACH,30, R308.70 ,32, R400.35 ,31, R336.66 ,31, R372.39 
The Grove,BEV,Beer & Ciders,11323,corona 355ml,EACH,8, R105.20 ,48, R631.30 ,28, R368.20 ,28, R368.30 
The Grove,BEV,Beer & Ciders,10976,draught castle lite keg 1lt,LITER,7, R177.80 ,130," R4,431.41 ",71," R1,883.63 ",66," R2,725.58 "
The Grove,BEV,Beer & Ciders,11339,draught heineken keg 1lt,LT,30, R966.00 ,26," R1,234.94 ",16, R627.52 ,40," R1,573.42 "
The Grove,BEV,Beer & Ciders,10855,flying fish lemon,EACH,25, R269.00 ,0, R-   ,13, R139.88 ,12, R129.12 
The Grove,BEV,Beer & Ciders,10858,hansa,EACH,12, R111.48 ,0, R-   ,11, R102.19 ,1, R9.29 
The Grove,BEV,Beer & Ciders,10859,heineken,EACH,5, R60.00 ,24, R301.81 ,21, R264.18 ,8, R97.63 
The Grove,BEV,Beer & Ciders,13022,heineken non alc,EACH,18, R216.00 ,0, R-   ,9, R108.00 ,9, R108.00 
The Grove,BEV,Beer & Ciders,10860,hunters dry,EACH,8, R96.96 ,24, R306.78 ,21, R268.38 ,11, R135.36 
The Grove,BEV,Beer & Ciders,10861,hunters gold,EACH,5, R60.60 ,12, R159.20 ,6, R79.62 ,11, R140.18 
The Grove,BEV,Beer & Ciders,10863,savanna light,EACH,11, R153.89 ,24, R349.66 ,15, R218.55 ,20, R285.00 
The Grove,BEV,Beer & Ciders,10060,savannah dry,EACH,62, R867.38 ,24, R349.66 ,23, R335.11 ,63, R881.93 
The Grove,BEV,Beer & Ciders,13056,savannah lemon 0,EACH,22, R307.78 ,0, R-   ,11, R153.89 ,11, R153.89 
The Grove,BEV,Beer & Ciders,10061,windhoek draught botle can,EACH,16, R214.24 ,24, R324.97 ,8, R108.32 ,32, R430.89 
The Grove,BEV,Beer & Ciders,10062,windhoek lager,EACH,3, R40.17 ,24, R335.30 ,21, R293.37 ,6, R82.10 
The Grove,BEV,Cold Bev,10096,juice cocktail 350ml,EACH,23, R349.60 ,18, R273.60 ,17, R258.40 ,24, R364.80 
The Grove,BEV,Cold Bev,10101,juice mango 350ml,EACH,33, R501.60 ,18, R273.60 ,14, R212.80 ,37, R562.40 
The Grove,BEV,Cold Bev,10102,juice orange 350ml,EACH,28, R425.60 ,18, R273.60 ,18, R273.60 ,28, R425.60 
The Grove,BEV,Cold Bev,10073,large appletiser,EACH,42, R603.96 ,84," R1,220.55 ",46, R661.48 ,80," R1,163.03 "
The Grove,BEV,Cold Bev,10090,large bos i/tea lemon,EACH,36, R405.72 ,24, R286.94 ,30, R358.80 ,30, R333.86 
The Grove,BEV,Cold Bev,10091,large bos i/tea peach,EACH,39, R439.53 ,24, R286.94 ,25, R299.00 ,38, R427.47 
The Grove,BEV,Cold Bev,10074,large coca cola,EACH,129," R1,222.92 ",354," R3,413.71 ",180," R1,706.40 ",303," R2,930.23 "
The Grove,BEV,Cold Bev,10955,large coke zero,EACH,32, R303.36 ,216," R2,048.03 ",81, R767.88 ,167," R1,583.51 "
The Grove,BEV,Cold Bev,10076,large creme soda,EACH,22, R208.56 ,72, R682.35 ,41, R388.68 ,53, R502.23 
