date,revenue,transaction_qty,avg_spend
2025-01-01,15000,120,125.00
2025-01-02,18000,140,128.57
2025-01-03,22000,165,133.33
2025-01-04,14000,110,127.27
2025-01-05,12000,95,126.32
2025-01-06,20000,155,129.03
2025-01-07,25000,190,131.58
2025-01-08,16000,125,128.00
2025-01-09,19000,145,131.03
2025-01-10,23000,170,135.29
2025-01-11,15000,115,130.43
2025-01-12,13000,100,130.00
2025-01-13,21000,160,131.25
2025-01-14,26000,195,133.33
2025-01-15,17000,130,130.77
2025-01-16,20000,150,133.33
2025-01-17,24000,175,137.14
2025-01-18,16000,120,133.33
2025-01-19,14000,105,133.33
2025-01-20,22000,165,133.33
2025-01-21,27000,200,135.00
2025-01-22,18000,135,133.33
2025-01-23,21000,155,135.48
2025-01-24,25000,180,138.89
2025-01-25,17000,125,136.00
2025-01-26,15000,110,136.36
2025-01-27,23000,170,135.29
2025-01-28,28000,205,136.59
2025-01-29,19000,140,135.71
2025-01-30,22000,160,137.50
2025-01-31,26000,185,140.54
2025-02-01,18000,130,138.46
2025-02-02,16000,115,139.13
2025-02-03,24000,172,139.53
2025-02-04,29000,208,139.42
2025-02-05,20000,145,137.93
2025-02-06,23000,165,139.39
2025-02-07,27000,190,142.11
2025-02-08,19000,135,140.74
